,HI_WOA,DHO,ChaoticWhale,ImprovedGA,OriginalGSKA,OriginalHGS,L_SHADE,BaseSMA,OriginalSMA,AdaptiveEO
47,22864380.253514707,55517.39493067257,932384.0296525636,14756186.410870038,43034579.43120656,3253884.380833193,5878072.6123858765,233713946.8092589,221685615.9789045,5878042.028926856
48,22864380.253514707,56393.36760980655,874771.0966653503,14756186.410870038,43034579.43120656,3242086.422315088,5878072.6123858765,183276343.8446904,471734029.2726036,5715724.50196106
49,22864380.253514707,44262.32874047376,857009.9990834157,14756186.410870038,43034579.43120656,3239131.347857002,5878072.6123858765,38326914.96622354,73213147.6452108,5707888.96261147
50,20331718.422261804,42529.60786469191,837726.4153989588,14756186.410870038,26331908.015839554,3235634.900749499,5878072.6123858765,163856887.49206984,402263517.9738828,5677806.662659967
51,20331718.422261804,44757.53490082349,827757.9571049192,14756186.410870038,26331908.015839554,3228430.917131196,5878072.6123858765,303672680.6266774,360285714.789702,5579170.813571476
52,20331718.422261804,41942.75099337832,819095.0375854627,14756186.410870038,26331908.015839554,3220735.1145064663,5878072.6123858765,144950519.4352123,352199711.6551088,5565921.983635569
53,20258370.47684042,41982.24193957309,815992.1188879005,14756186.410870038,26331908.015839554,3218335.1785948314,5878072.6123858765,276569379.55571127,229648144.81845468,5503773.500284812
54,20258370.47684042,39788.14818869327,759508.7782033392,14756186.410870038,26331908.015839554,3208042.089826095,5878072.6123858765,187738766.4007557,192501779.6223655,5501393.674981241
55,20258370.47684042,40122.989284919895,740952.479504995,14756186.410870038,26331908.015839554,3206233.8863088344,5878072.6123858765,149163645.30153963,193362471.99221775,5459347.279509762
56,20258370.47684042,38708.74553055667,573460.5929359645,14756186.410870038,26331908.015839554,3205218.325724588,5247779.047578488,189826508.77549115,452038586.8548298,5444113.889613206
57,20258370.47684042,38628.90964365336,545300.028586293,14756186.410870038,26331908.015839554,3201592.9500084645,5247779.047578488,219833203.10822803,237688472.2925124,5436486.330547541
58,20258370.47684042,38374.50655044105,510896.46265380026,14756186.410870038,26331908.015839554,3196880.9395077107,5247779.047578488,386710047.5127233,605595696.2516567,5425430.1890405165
